decision_idx,agent_x,agent_y,chosen_idx,subgoal_x,subgoal_y,R,k,termination,q_selected,num_valid,timestamp
365,0.4917610498024781,4.152290741041952,0,-3.899965422304825,0.9352939631358975,0.1266522704900155,10,MAX_STEPS,11.173486709594727,7,2629673
375,2.3107220231992573,5.518689121382673,6,15.0,15.0,2.291995995361269,10,MAX_STEPS,11.202957153320312,7,2629673
385,0.4786788693502171,4.169891585940467,0,-3.899965422304825,0.9352939631358975,0.1265681840863206,10,MAX_STEPS,11.238001823425293,7,2629673
395,-1.5321560330013047,2.684447882717474,0,-3.899965422304825,0.9352939631358975,0.23905580266559992,10,MAX_STEPS,11.263016700744629,7,2629673
405,0.3091733430091442,4.020542524746082,1,5.719643134462145,7.962250548245428,2.2918991781495937,10,MAX_STEPS,11.279701232910156,7,2629673
415,2.1305326352039438,2.394177442077034,2,7.745417792085655,-4.184520016942785,1.5214405508899802,10,MAX_STEPS,11.303345680236816,7,2629673
425,-0.10704982158041854,1.5657061738917244,0,-3.899965422304825,0.9352939631358975,0.2402257433180005,10,MAX_STEPS,11.327998161315918,7,2629673
433,-2.079943969744948,1.2375472699669987,0,-3.899965422304825,0.9352939631358975,2.6361934123209525,8,SUBGOAL_REACHED,11.344194412231445,7,2629673
443,-0.4562020014250826,2.9077609986503763,1,5.719643134462145,7.962250548245428,2.3527494829428615,10,MAX_STEPS,11.371260643005371,6,2629673
453,1.5459684554503874,1.5019190423939626,2,7.745417792085655,-4.184520016942785,1.642026943426091,10,MAX_STEPS,11.404692649841309,7,2629673
463,-0.7046522661981242,1.937324355419761,5,-3.7038243653573746,2.9032488407907437,0.5618220883869348,10,MAX_STEPS,11.439008712768555,7,2629673
468,-1.8945377499667966,2.320302726919687,5,-3.7038243653573746,2.9032488407907437,2.77148231276254,5,SUBGOAL_REACHED,11.466253280639648,7,2629673
470,-2.368605261219019,2.1743776207939414,0,-3.899965422304825,0.9352939631358975,2.4836793664448416,2,SUBGOAL_REACHED,11.506033897399902,6,2629673
480,-0.5698476772895306,3.572363651419491,1,5.719643134462145,7.962250548245428,2.2940621401162047,10,MAX_STEPS,11.556910514831543,5,2629673
490,1.6939219137487331,4.630833373698806,4,8.454627544558683,7.644633529205729,2.6017466346036806,10,MAX_STEPS,,7,2629673
500,3.272950473653931,2.7612443679004692,2,7.745417792085655,-4.184520016942785,1.3341220763034538,10,MAX_STEPS,11.670379638671875,7,2629673
510,1.031395244544381,1.8966186294108607,0,-3.899965422304825,0.9352939631358975,0.25774321779991993,10,MAX_STEPS,11.725773811340332,7,2629673
520,2.7788331549139964,3.3785213618400185,3,9.71735803852219,8.12265168862908,2.3057019085523933,10,MAX_STEPS,11.769704818725586,7,2629673
