mihir@mihir-jetson:~/Data/DTQN/fov$ python train_dtqn.py 500 --eval-every 25 --save-every 10 --video-every 25
[ep  107/500] OK   | dec= 31 R= +60.71 gdist=  1.8 | eps=0.2945 buf=  6111 upd=  6111 | 2.3s
[ep  108/500] OK   | dec= 40 R=+145.68 gdist=  1.9 | eps=0.2922 buf=  6151 upd=  6151 | 2.9s
[ep  109/500] FAIL | dec=100 R= +84.27 gdist= 23.4 | eps=0.2864 buf=  6251 upd=  6251 | 7.4s
[ep  110/500] FAIL | dec=100 R= +92.87 gdist= 16.6 | eps=0.2807 buf=  6351 upd=  6351 | 8.6s
[ep  111/500] OK   | dec= 52 R= +56.11 gdist=  1.8 | eps=0.2778 buf=  6403 upd=  6403 | 4.4s
[ep  112/500] OK   | dec= 88 R=+175.71 gdist=  1.9 | eps=0.2730 buf=  6491 upd=  6491 | 7.5s
[ep  113/500] FAIL | dec=100 R= +31.02 gdist= 17.1 | eps=0.2676 buf=  6591 upd=  6591 | 8.4s
[ep  114/500] FAIL | dec=100 R= +51.72 gdist= 16.7 | eps=0.2623 buf=  6691 upd=  6691 | 8.3s
[ep  115/500] FAIL | dec=100 R= +60.62 gdist= 12.3 | eps=0.2571 buf=  6791 upd=  6791 | 8.7s
[ep  116/500] FAIL | dec=100 R= +83.09 gdist= 11.9 | eps=0.2520 buf=  6891 upd=  6891 | 8.7s
[ep  117/500] FAIL | dec=100 R= -55.16 gdist= 17.7 | eps=0.2470 buf=  6991 upd=  6991 | 8.8s
[ep  118/500] FAIL | dec=100 R=+111.40 gdist= 18.7 | eps=0.2421 buf=  7091 upd=  7091 | 8.7s
[ep  119/500] FAIL | dec=100 R=+137.09 gdist= 15.7 | eps=0.2373 buf=  7191 upd=  7191 | 8.6s
[ep  120/500] FAIL | dec=100 R=+102.32 gdist= 20.6 | eps=0.2326 buf=  7291 upd=  7291 | 8.6s
[ep  121/500] OK   | dec= 68 R= +63.29 gdist=  2.0 | eps=0.2295 buf=  7359 upd=  7359 | 5.1s
[ep  122/500] OK   | dec= 44 R=+119.13 gdist=  1.8 | eps=0.2275 buf=  7403 upd=  7403 | 3.3s
[ep  123/500] OK   | dec= 26 R= +74.00 gdist=  1.8 | eps=0.2263 buf=  7429 upd=  7429 | 2.0s
[ep  124/500] OK   | dec= 24 R= +75.71 gdist=  1.8 | eps=0.2252 buf=  7453 upd=  7453 | 1.8s
MovieWriter ffmpeg unavailable; trying to use <class 'matplotlib.animation.PillowWriter'> instead.
[ep  125/500] FAIL | dec=100 R=+119.71 gdist= 26.2 | eps=0.2207 buf=  7553 upd=  7553 | 192.2s [video saved]
  >>> Last 25 eps: success=52.00%  avg_R=+75.09  total_time=1076s
[ep  126/500] FAIL | dec=100 R= +26.43 gdist= 19.1 | eps=0.2164 buf=  7653 upd=  7653 | 7.8s
[ep  127/500] FAIL | dec=100 R= +55.62 gdist= 16.3 | eps=0.2121 buf=  7753 upd=  7753 | 7.6s
[ep  128/500] OK   | dec= 28 R=+102.68 gdist=  1.9 | eps=0.2109 buf=  7781 upd=  7781 | 2.1s
[ep  129/500] OK   | dec= 22 R= +71.29 gdist=  1.9 | eps=0.2100 buf=  7803 upd=  7803 | 1.7s
[ep  130/500] FAIL | dec=100 R= +60.19 gdist= 24.4 | eps=0.2058 buf=  7903 upd=  7903 | 7.6s
[ep  131/500] FAIL | dec=100 R= +93.72 gdist= 17.6 | eps=0.2017 buf=  8003 upd=  8003 | 7.4s
[ep  132/500] FAIL | dec=100 R= -31.96 gdist= 20.6 | eps=0.1977 buf=  8103 upd=  8103 | 7.6s
[ep  133/500] OK   | dec= 30 R=+101.42 gdist=  1.7 | eps=0.1966 buf=  8133 upd=  8133 | 2.2s
[ep  134/500] FAIL | dec=100 R= +13.39 gdist= 14.0 | eps=0.1927 buf=  8233 upd=  8233 | 7.5s
